scientific_name,source
Andrena anisochlora,GBIF
Andrena annectens,GBIF
Andrena anograe,GBIF
Andrena apacheorum,GBIF
Andrena arabis,GBIF
Andrena arctostaphylae,GBIF
Andrena argemonis,GBIF
Andrena arima,GBIF
Andrena astragali,GBIF
Andrena atlantica,GBIF
Andrena atypica,GBIF
Andrena auricoma,GBIF
Andrena aurihirta,GBIF
Andrena auripes,GBIF
Andrena avulsa,GBIF
Andrena baeriae,GBIF
Andrena balsamorhizae,GBIF
Andrena banksi,GBIF
Andrena barbara,GBIF
Andrena barbilabris,GBIF
Andrena berkeleyi,GBIF
Andrena birtwelli,GBIF
Andrena biscutellata,GBIF
Andrena blaisdelli,GBIF
Andrena blennospermatis,GBIF
Andrena boronensis,GBIF
Andrena brevipalpis,GBIF
Andrena bruneri,GBIF
Andrena buckelli,GBIF
Andrena caerulea,GBIF
Andrena caliginosa,GBIF
Andrena candida,GBIF
Andrena candidiformis,GBIF
Andrena capricornis,GBIF
Andrena ceanothi,GBIF
Andrena ceanothifloris,GBIF
Andrena cerasifolii,GBIF
Andrena cercocarpi,GBIF
Andrena cerebrata,GBIF
Andrena chalybaea,GBIF
Andrena chalybioides,GBIF
Andrena chaparralensis,GBIF
Andrena chapmanae,GBIF
Andrena cheyennorum,GBIF
Andrena chlorogaster,GBIF
Andrena chlorosoma,GBIF
Andrena chlorura,GBIF
Andrena cleodora,GBIF
Andrena coconina,GBIF
Andrena colletina,GBIF
Andrena columbiana,GBIF
Andrena commoda,GBIF
Andrena concinnula,GBIF
Andrena confederata,GBIF
Andrena congrua,GBIF
Andrena costillensis,GBIF
Andrena cragini,GBIF
Andrena crawfordi,GBIF
Andrena cressonii,GBIF
Andrena crinita,GBIF
Andrena cristata,GBIF
Andrena cruciferarum,GBIF
Andrena crudeni,GBIF
Andrena cryptanthae,GBIF
Andrena cuneilabris,GBIF
Andrena cupreotincta,GBIF
Andrena cyanophila,GBIF
Andrena cyanosoma,GBIF
Andrena dimorpha,GBIF
Andrena dolomellea,GBIF
Andrena dunningi,GBIF
Andrena edwardsi,GBIF
Andrena ellisiae,GBIF
Andrena evoluta,GBIF
Andrena flexa,GBIF
Andrena forbesii,GBIF
Andrena fracta,GBIF
Andrena fulgida,GBIF
Andrena fuscicauda,GBIF
Andrena gnaphalii,GBIF
Andrena gordoni,GBIF
Andrena hallii,GBIF
Andrena hamulata,GBIF
Andrena hastulata,GBIF
Andrena haynesi,GBIF
Andrena helianthiformis,GBIF
Andrena hemileuca,GBIF
Andrena heraclei,GBIF
Andrena hicksi,GBIF
Andrena hilaris,GBIF
Andrena hippotes,GBIF
Andrena hypoleuca,GBIF
Andrena ilicis,GBIF
Andrena illini,GBIF
Andrena imitatrix,GBIF
Andrena impolita,GBIF
Andrena irrasus,GBIF
Andrena isocomae,GBIF
Andrena jessicae,GBIF
Andrena kaibabensis,GBIF
Andrena knuthiana,GBIF
Andrena kristina,GBIF
Andrena lamelliterga,GBIF
Andrena laminibucca,GBIF
Andrena lapponica,GBIF
Andrena lawrencei,GBIF
Andrena leucomystax,GBIF
Andrena lewisorum,GBIF
Andrena linsleyana,GBIF
Andrena linsleyi,GBIF
Andrena livida,GBIF
Andrena lomatii,GBIF
Andrena lupinorum,GBIF
Andrena mackieae,GBIF
Andrena macra,GBIF
Andrena mandibularis,GBIF
Andrena medionitens,GBIF
Andrena mellea,GBIF
Andrena melliventris,GBIF
Andrena mentzeliae,GBIF
Andrena merriami,GBIF
Andrena mesillae,GBIF
Andrena mesoleuca,GBIF
Andrena micheneriana,GBIF
Andrena microchlora,GBIF
Andrena milwaukeensis,GBIF
Andrena miniata,GBIF
Andrena miranda,GBIF
Andrena misella,GBIF
Andrena miserabilis,GBIF
Andrena monilicornis,GBIF
Andrena monoensis,GBIF
Andrena monogonoparia,GBIF
Andrena montrosensis,GBIF
Andrena morrisonella,GBIF
Andrena nasonii,GBIF
Andrena nemophilae,GBIF
Andrena neomexicana,GBIF
Andrena neonana,GBIF
Andrena nigerrima,GBIF
Andrena nigricula,GBIF
Andrena nigrihirta,GBIF
Andrena nigripes,GBIF
Andrena nigroaenea,GBIF
Andrena nigrocaerulea,GBIF
Andrena nivalis,GBIF
Andrena nothocalaidis,GBIF
Andrena nothoscordi,GBIF
Andrena nuda,GBIF
Andrena obscuripennis,GBIF
Andrena obscuripostica,GBIF
Andrena oenotherae,GBIF
Andrena olivacea,GBIF
Andrena omninigra,GBIF
Andrena orthocarpi,GBIF
Andrena osmioides,GBIF
Andrena pallidifovea,GBIF
Andrena pallidiscopa,GBIF
Andrena palpalis,GBIF
Andrena papagorum,GBIF
Andrena parachalybea,GBIF
Andrena parnassiae,GBIF
Andrena pecosana,GBIF
Andrena pensilis,GBIF
Andrena perarmata,GBIF
Andrena perimelas,GBIF
Andrena perplexa,GBIF
Andrena perpunctata,GBIF
Andrena personata,GBIF
Andrena pertristis,GBIF
Andrena piperi,GBIF
Andrena plana,GBIF
Andrena platyrhina,GBIF
Andrena polemonii,GBIF
Andrena porterae,GBIF
Andrena prima,GBIF
Andrena primulifrons,GBIF
Andrena principalis,GBIF
Andrena prolixa,GBIF
Andrena pruni,GBIF
Andrena prunorum,GBIF
Andrena pulverea,GBIF
Andrena puthua,GBIF
Andrena quadrilimbata,GBIF
Andrena quercina,GBIF
Andrena quintiliformis,GBIF
Andrena ramaleyi,GBIF
Andrena raveni,GBIF
Andrena reflexa,GBIF
Andrena regularis,GBIF
Andrena ribblei,GBIF
Andrena robertsonii,GBIF
Andrena robinsoni,GBIF
Andrena rozeni,GBIF
Andrena rubi,GBIF
Andrena rufosignata,GBIF
Andrena rugosa,GBIF
Andrena sagittagalea,GBIF
Andrena salicifloris,GBIF
Andrena sayi,GBIF
Andrena schuhi,GBIF
Andrena scurra,GBIF
