scientific_name,state_code,source,observation_count
Limnothlypis swainsonii,AL,eBird,NA
Leiothlypis peregrina,AL,eBird,NA
Leiothlypis celata,AL,eBird,NA
Leiothlypis ruficapilla,AL,eBird,NA
Leiothlypis virginiae,AL,eBird,NA
Oporornis agilis,AL,eBird,NA
Geothlypis tolmiei,AL,eBird,NA
Geothlypis philadelphia,AL,eBird,NA
Geothlypis formosa,AL,eBird,NA
Geothlypis trichas,AL,eBird,NA
Setophaga citrina,AL,eBird,NA
Setophaga ruticilla,AL,eBird,NA
Setophaga kirtlandii,AL,eBird,NA
Setophaga tigrina,AL,eBird,NA
Setophaga cerulea,AL,eBird,NA
Setophaga americana,AL,eBird,NA
Setophaga magnolia,AL,eBird,NA
Setophaga castanea,AL,eBird,NA
Setophaga fusca,AL,eBird,NA
Setophaga aestiva,AL,eBird,NA
Setophaga pensylvanica,AL,eBird,NA
Setophaga striata,AL,eBird,NA
Setophaga caerulescens,AL,eBird,NA
Setophaga palmarum,AL,eBird,NA
Setophaga pinus,AL,eBird,NA
Setophaga coronata,AL,eBird,NA
Setophaga dominica,AL,eBird,NA
Setophaga discolor,AL,eBird,NA
Setophaga nigrescens,AL,eBird,NA
Setophaga townsendi,AL,eBird,NA
Setophaga virens,AL,eBird,NA
Cardellina canadensis,AL,eBird,NA
Cardellina pusilla,AL,eBird,NA
Myioborus pictus,AL,eBird,NA
Piranga rubra,AL,eBird,NA
Piranga olivacea,AL,eBird,NA
Piranga ludoviciana,AL,eBird,NA
Cardinalis cardinalis,AL,eBird,NA
Pheucticus ludovicianus,AL,eBird,NA
Pheucticus melanocephalus,AL,eBird,NA
Passerina caerulea,AL,eBird,NA
Passerina amoena,AL,eBird,NA
Passerina cyanea,AL,eBird,NA
Passerina ciris,AL,eBird,NA
Spiza americana,AL,eBird,NA
Anser canagicus,AK,eBird,NA
Anser caerulescens,AK,eBird,NA
Anser rossii,AK,eBird,NA
Anser anser,AK,eBird,NA
Anser cygnoides,AK,eBird,NA
Anser albifrons,AK,eBird,NA
Anser erythropus,AK,eBird,NA
Anser fabalis,AK,eBird,NA
Anser serrirostris,AK,eBird,NA
Branta bernicla,AK,eBird,NA
Branta leucopsis,AK,eBird,NA
Branta hutchinsii,AK,eBird,NA
Branta canadensis,AK,eBird,NA
Cygnus buccinator,AK,eBird,NA
Cygnus columbianus,AK,eBird,NA
Cygnus cygnus,AK,eBird,NA
Cairina moschata,AK,eBird,NA
Aix sponsa,AK,eBird,NA
Aix galericulata,AK,eBird,NA
Sibirionetta formosa,AK,eBird,NA
Spatula querquedula,AK,eBird,NA
Spatula discors,AK,eBird,NA
Spatula cyanoptera,AK,eBird,NA
Spatula clypeata,AK,eBird,NA
Mareca strepera,AK,eBird,NA
Mareca falcata,AK,eBird,NA
Mareca penelope,AK,eBird,NA
Mareca americana,AK,eBird,NA
Anas zonorhyncha,AK,eBird,NA
Anas platyrhynchos,AK,eBird,NA
Anas rubripes,AK,eBird,NA
Anas acuta,AK,eBird,NA
Anas crecca,AK,eBird,NA
Aythya valisineria,AK,eBird,NA
Aythya americana,AK,eBird,NA
Aythya ferina,AK,eBird,NA
Aythya collaris,AK,eBird,NA
Aythya fuligula,AK,eBird,NA
Aythya marila,AK,eBird,NA
Aythya affinis,AK,eBird,NA
Polysticta stelleri,AK,eBird,NA
Somateria fischeri,AK,eBird,NA
Somateria spectabilis,AK,eBird,NA
Somateria mollissima,AK,eBird,NA
Histrionicus histrionicus,AK,eBird,NA
Melanitta perspicillata,AK,eBird,NA
Melanitta deglandi,AK,eBird,NA
Melanitta stejnegeri,AK,eBird,NA
Melanitta americana,AK,eBird,NA
Clangula hyemalis,AK,eBird,NA
Bucephala albeola,AK,eBird,NA
Bucephala clangula,AK,eBird,NA
Bucephala islandica,AK,eBird,NA
Mergellus albellus,AK,eBird,NA
Lophodytes cucullatus,AK,eBird,NA
Mergus merganser,AK,eBird,NA
Mergus serrator,AK,eBird,NA
Oxyura jamaicensis,AK,eBird,NA
Numida meleagris,AK,eBird,NA
Colinus virginianus,AK,eBird,NA
Meleagris gallopavo,AK,eBird,NA
Bonasa umbellus,AK,eBird,NA
Dendragapus fuliginosus,AK,eBird,NA
Tympanuchus phasianellus,AK,eBird,NA
Lagopus leucura,AK,eBird,NA
Lagopus lagopus,AK,eBird,NA
Lagopus muta,AK,eBird,NA
Canachites canadensis,AK,eBird,NA
Phasianus colchicus,AK,eBird,NA
Phasianus versicolor,AK,eBird,NA
Pavo cristatus,AK,eBird,NA
Gallus gallus,AK,eBird,NA
Alectoris chukar,AK,eBird,NA
Columba livia,AK,eBird,NA
Patagioenas fasciata,AK,eBird,NA
Streptopelia orientalis,AK,eBird,NA
Streptopelia decaocto,AK,eBird,NA
Streptopelia roseogrisea,AK,eBird,NA
Zenaida asiatica,AK,eBird,NA
Zenaida macroura,AK,eBird,NA
Coccyzus americanus,AK,eBird,NA
Cuculus canorus,AK,eBird,NA
Cuculus optatus,AK,eBird,NA
Chordeiles acutipennis,AK,eBird,NA
Chordeiles minor,AK,eBird,NA
Antrostomus vociferus,AK,eBird,NA
Caprimulgus jotaka,AK,eBird,NA
Cypseloides niger,AK,eBird,NA
Chaetura pelagica,AK,eBird,NA
Chaetura vauxi,AK,eBird,NA
Hirundapus caudacutus,AK,eBird,NA
Apus apus,AK,eBird,NA
Apus pacificus,AK,eBird,NA
Archilochus colubris,AK,eBird,NA
Calypte anna,AK,eBird,NA
Calypte costae,AK,eBird,NA
Selasphorus calliope,AK,eBird,NA
Selasphorus rufus,AK,eBird,NA
Rallus limicola,AK,eBird,NA
Porzana carolina,AK,eBird,NA
Gallinula chloropus,AK,eBird,NA
Fulica atra,AK,eBird,NA
Fulica americana,AK,eBird,NA
Zapornia pusilla,AK,eBird,NA
Coturnicops noveboracensis,AK,eBird,NA
Antigone canadensis,AK,eBird,NA
Grus virgo,AK,eBird,NA
Grus grus,AK,eBird,NA
Grus monacha,AK,eBird,NA
Himantopus himantopus,AK,eBird,NA
Recurvirostra americana,AK,eBird,NA
Haematopus ostralegus,AK,eBird,NA
Haematopus bachmani,AK,eBird,NA
Pluvialis squatarola,AK,eBird,NA
Pluvialis apricaria,AK,eBird,NA
Pluvialis dominica,AK,eBird,NA
Pluvialis fulva,AK,eBird,NA
Eudromias morinellus,AK,eBird,NA
Charadrius vociferus,AK,eBird,NA
Charadrius hiaticula,AK,eBird,NA
Charadrius semipalmatus,AK,eBird,NA
Thinornis dubius,AK,eBird,NA
Vanellus vanellus,AK,eBird,NA
Anarhynchus mongolus,AK,eBird,NA
Anarhynchus nivosus,AK,eBird,NA
Anarhynchus alexandrinus,AK,eBird,NA
Bartramia longicauda,AK,eBird,NA
Numenius tahitiensis,AK,eBird,NA
Numenius hudsonicus,AK,eBird,NA
Numenius phaeopus,AK,eBird,NA
Numenius minutus,AK,eBird,NA
Numenius borealis,AK,eBird,NA
Numenius americanus,AK,eBird,NA
Numenius madagascariensis,AK,eBird,NA
Limosa lapponica,AK,eBird,NA
Limosa limosa,AK,eBird,NA
Limosa haemastica,AK,eBird,NA
Limosa fedoa,AK,eBird,NA
Limnodromus griseus,AK,eBird,NA
Limnodromus scolopaceus,AK,eBird,NA
Lymnocryptes minimus,AK,eBird,NA
Gallinago solitaria,AK,eBird,NA
Gallinago stenura,AK,eBird,NA
Gallinago gallinago,AK,eBird,NA
Gallinago delicata,AK,eBird,NA
Phalaropus tricolor,AK,eBird,NA
Phalaropus fulicarius,AK,eBird,NA
Phalaropus lobatus,AK,eBird,NA
Xenus cinereus,AK,eBird,NA
Actitis hypoleucos,AK,eBird,NA
Actitis macularius,AK,eBird,NA
Tringa ochropus,AK,eBird,NA
Tringa solitaria,AK,eBird,NA
Tringa brevipes,AK,eBird,NA
Tringa incana,AK,eBird,NA
Tringa stagnatilis,AK,eBird,NA
Tringa glareola,AK,eBird,NA
Tringa flavipes,AK,eBird,NA
Tringa semipalmata,AK,eBird,NA
Tringa erythropus,AK,eBird,NA
Tringa nebularia,AK,eBird,NA
Tringa melanoleuca,AK,eBird,NA
Arenaria interpres,AK,eBird,NA
Arenaria melanocephala,AK,eBird,NA
Calidris tenuirostris,AK,eBird,NA
Calidris canutus,AK,eBird,NA
Calidris virgata,AK,eBird,NA
Calidris pugnax,AK,eBird,NA
Calidris falcinellus,AK,eBird,NA
Calidris acuminata,AK,eBird,NA
Calidris ferruginea,AK,eBird,NA
Calidris himantopus,AK,eBird,NA
Calidris temminckii,AK,eBird,NA
Calidris subminuta,AK,eBird,NA
Calidris ruficollis,AK,eBird,NA
Calidris pygmaea,AK,eBird,NA
Calidris subruficollis,AK,eBird,NA
Calidris alba,AK,eBird,NA
Calidris alpina,AK,eBird,NA
Calidris maritima,AK,eBird,NA
Calidris ptilocnemis,AK,eBird,NA
Calidris bairdii,AK,eBird,NA
Calidris minuta,AK,eBird,NA
Calidris fuscicollis,AK,eBird,NA
Calidris minutilla,AK,eBird,NA
Calidris melanotos,AK,eBird,NA
Calidris mauri,AK,eBird,NA
Calidris pusilla,AK,eBird,NA
Glareola maldivarum,AK,eBird,NA
Stercorarius longicaudus,AK,eBird,NA
Stercorarius parasiticus,AK,eBird,NA
Stercorarius pomarinus,AK,eBird,NA
Stercorarius maccormicki,AK,eBird,NA
Cerorhinca monocerata,AK,eBird,NA
Fratercula cirrhata,AK,eBird,NA
Fratercula corniculata,AK,eBird,NA
Ptychoramphus aleuticus,AK,eBird,NA
Aethia pusilla,AK,eBird,NA
Aethia pygmaea,AK,eBird,NA
Aethia cristatella,AK,eBird,NA
Aethia psittacula,AK,eBird,NA
Brachyramphus perdix,AK,eBird,NA
Brachyramphus brevirostris,AK,eBird,NA
Brachyramphus marmoratus,AK,eBird,NA
Cepphus grylle,AK,eBird,NA
Cepphus columba,AK,eBird,NA
Alle alle,AK,eBird,NA
Uria lomvia,AK,eBird,NA
