"scientific_name","common_name","state_code","designation","source","source_url"
"Berberis thunbergii  DC.","Japanese barberry","NY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","WV","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","DC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","WA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Berberis thunbergii  DC.","Japanese barberry","RI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3010"
"Carduus nutans","musk thistle, nodding thistle","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","CA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","PA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","WI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","KY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","NH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","VA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","OR","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","WA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Carduus nutans","musk thistle, nodding thistle","ID","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3011"
"Celastrus orbiculatus","round leaf bittersweet","AL","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","MI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","PA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","CT","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","DE","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","GA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","WI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","KY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","MD","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","NH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","VA","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","OH","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","NJ","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","NY","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","WV","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","DC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","RI","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","SC","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
"Celastrus orbiculatus","round leaf bittersweet","TN","Invasive","Invasive Plant Atlas of the United States","https://www.invasiveplantatlas.org/subject.cfm?sub=3012"
