"Symbol","Scientific Name","Duration","Growth Habit","Native Status","Invasive"
"ACMA11","Acacia maidenii F. Muell.","","","",""
"SERO","Acacia malacophylla Benth.","","","",""
"ACMA12","Acacia mangium Willd.","","","",""
"ACME80","Acacia mearnsii De Wild.","","","",""
"ACME","Acacia melanoxylon R. Br.","","","",""
"SEME9","Acacia mellifera","","","",""
"SEME9","Acacia mellifera","","","",""
"ACME6","Acacia merrallii F. Muell.","","","",""
"ACMI5","Acacia microbotrya Benth.","","","",""
"ACMI6","Acacia microcarpa F. Muell.","","","",""
"MAMI9","Acacia millefolia S. Watson","","","",""
"VAFA","Acacia minuta","","","",""
"VAFA","Acacia minuta","","","",""
"ACMO9","Acacia montana Benth.","","","",""
"ACMU6","Acacia mucronata Willd. ex H.L. Wendl.","","","",""
"ACMU7","Acacia multispicata Benth.","","","",""
"SEMU4","Acacia muricata","","","",""
"ACMY2","Acacia myrtifolia","","","",""
"VAVE","Acacia neovernicosa Isely","","","",""
"ACNE8","Acacia neriifolia A. Cunn. ex Benth.","","","",""
"SENI4","Acacia nigrescens Oliv.","","","",""
"VANIA","Acacia nilotica","","","",""
"VANI4","Acacia nilotica","","","",""
"VANIA","Acacia nilotica","","","",""
"VANIK","Acacia nilotica","","","",""
"ACNO5","Acacia notabilis F. Muell.","","","",""
"ACOM","Acacia omalophylla A. Cunn. ex Benth.","","","",""
"ACOS2","Acacia oswaldii F. Muell.","","","",""
"ACOX3","Acacia oxycedrus Sieber ex DC.","","","",""
"VAGE2","Acacia pachyceras Sw.","","","",""
"VAGE2","Acacia pachyceras Sw. var. najdensis","","","",""
"ACPA16","Acacia papyrocarpa Benth.","","","",""
"ACPA8","Acacia paradoxa DC.","","","",""
"ACPA81","Acacia parramattensis Tindale","","","",""
"ACPA9","Acacia parvipinnula Tindale","","","",""
"ACDEP2","Acacia paucijuga Wakef.","","","",""
"ACPE8","Acacia pendula A. Cunn. ex G. Don","","","",""
"SEPE10","Acacia pennata","","","",""
"VAPE4","Acacia pennatula","","","",""
"ACPE10","Acacia penninervis Sieber ex DC.","","","",""
"SEPE10","Acacia pentagona","","","",""
"VAFAP","Acacia pinetorum F.J. Herm.","","","",""
"ACPO2","Acacia podalyriifolia A. Cunn. ex G. Don","","","",""
"SEPO3","Acacia polyacantha Willd.","","","",""
"SEPOC","Acacia polyacantha Willd. ssp. campylacantha","","","",""
"ACPR6","Acacia pravissima F. Muell.","","","",""
"ACPR3","Acacia prominens A. Cunn. ex G. Don","","","",""
"ACPR4","Acacia pruinosa A. Cunn. ex Benth.","","","",""
"ACPU3","Acacia pulchella R. Br.","","","",""
"ACPY3","Acacia pycnantha Benth.","","","",""
"ACPY4","Acacia pyrifolia DC.","","","",""
"ACQU2","Acacia quornensis J.M. Black","","","",""
"ACRA5","Acacia ramulosa W. Fitzg.","","","",""
"ACRE9","Acacia redolens Maslin","","","",""
"VARE2","Acacia rehmanniana Schinz","","","",""
"ACRE2","Acacia retinodes Schltdl.","","","",""
"SEWE4","Acacia retusa","","","",""
"ACRI10","Acacia richii A. Gray [excluded]","","","",""
"ACRI6","Acacia rigens A. Cunn. ex G. Don","","","",""
"VARI","Acacia rigidula Benth.","","","",""
"SEWE4","Acacia riparia auct. non Kunth","","","",""
"ACRI7","Acacia rivalis J.M. Black","","","",""
"VARO","Acacia robusta Burch.","","","",""
"SERO","Acacia roemeriana Scheele","","","",""
"ACRO6","Acacia rossei F. Muell.","","","",""
"ACRU11","Acacia rubida A. Cunn.","","","",""
"ACRU12","Acacia rupicola F. Muell. ex Benth.","","","",""
"ACSA9","Acacia saliciformis Tindale","","","",""
"ACSA10","Acacia salicina Lindl.","","","",""
"ACSA","Acacia saligna","","","",""
"VABR4","Acacia schaffneri","","","",""
"VASC4","Acacia schaffneri","","","",""
"VASC4","Acacia schaffneri","","","",""
"VASC5","Acacia schottii Torr.","","","",""
"SESC7","Acacia schweinfurthii Brenan & Exell","","","",""
"ACSC10","Acacia sclerosperma F. Muell.","","","",""
"SESK","Acacia scleroxyla Tussac [excluded]","","","",""
"SESE16","Acacia senegal","","","",""
"SESER","Acacia senegal","","","",""
"ACVI7","Acacia sentis F. Muell. ex Benth., nom. illeg.","","","",""
"VASE","Acacia seyal Delile","","","",""
"VASI3","Acacia sieberiana DC.","","","",""
"VASIW","Acacia sieberiana DC. var. woodii","","","",""
"ACSI5","Acacia silvestris Tindale","","","",""
"VAFA","Acacia smallii Isely","","","",""
"ACSO4","Acacia sophorae","","","",""
